id	misspelling	gold	suggestions	suggestions_withRank
156	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
157	spazirn	spazieren	[spaziere, spaziert, spazieren]	{2.0=[spaziere, spaziert, spazieren]}
158	kamm	kam	[Kamm, komm, klamm, kam, ramm, kaum, kämm, kamt]	{0.5=[Kamm], 1.0=[komm, klamm, kam, ramm, kaum, kämm, kamt]}
159	lekte	leckte	[leite, lenkte, lebte, leckte, legte]	{1.0=[leite, lenkte, lebte, leckte, legte]}
160	Plözlich	Plötzlich	[Plötzlich, plötzlich, Plötzliche]	{1.0=[Plötzlich], 1.5=[plötzlich], 2.0=[Plötzliche]}
161	viel	fiel	[viel, Viel, fiel, vier, viele]	{0.0=[viel], 0.5=[Viel], 1.0=[fiel, vier, viele]}
162	hien	hin	[hieß, hin, hier, hieb]	{1.0=[hieß, hin, hier, hieb]}
163	Pölzlich	Plötzlich	[Plötzlich, plötzlich, Höflich, Wörtlich, Tödlich, östlich, Möglich, Kürzlich, Köstlich, Herzlich, Plötzliche, Nützlich, Peinlich, Höllisch]	{2.0=[Plötzlich], 2.5=[plötzlich], 3.0=[Höflich, Wörtlich, Tödlich, östlich, Möglich, Kürzlich, Köstlich, Herzlich, Plötzliche, Nützlich, Peinlich, Höllisch]}
164	weite	weiter	[weite, Weite, leite, Zweite, weißte, werte, wette, weine, weit, weitem, weise, reite, weiten, weinte, weites, wehte, weiter, weitet, zweite, weiße]	{0.0=[weite], 0.5=[Weite], 1.0=[leite, Zweite, weißte, werte, wette, weine, weit, weitem, weise, reite, weiten, weinte, weites, wehte, weiter, weitet, zweite, weiße]}
165	Eisstant	Eisstand	[Passant, Distanz, Eiskalt, Erstaunt]	{3.0=[Passant, Distanz, Eiskalt, Erstaunt]}
166	gehet	geht	[Gehet, gehst, gehext, gehen, geht, gehegt, gehe]	{0.5=[Gehet], 1.0=[gehst, gehext, gehen, geht, gehegt, gehe]}
167	schildst	schmilzt	[Schilds, schiebst, schuldest, schickst, schilder, schienst, schildert, schilderst, schwillst, schuldet]	{1.5=[Schilds], 2.0=[schiebst, schuldest, schickst, schilder, schienst, schildert, schilderst, schwillst, schuldet]}
168	frist	frisst	[frißt, frisst, friss]	{1.0=[frißt, frisst, friss]}
169	abat	aber	[bat, Bat, ahnt, abgab, acht, anhat, bot, trat, Habt, parat, übt, Salat, antat, Tabak, abkam, bau, ablas, hat, absah, ab, abhaut, aber, tat, alt, baut, gabst, anbot, übst, habt, Habet]	{1.0=[bat], 1.5=[Bat], 2.0=[ahnt, abgab, acht, anhat, bot, trat, Habt, parat, übt, Salat, antat, Tabak, abkam, bau, ablas, hat, absah, ab, abhaut, aber, tat, alt, baut, gabst, anbot, übst, habt, Habet]}
170	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
171	Aba	Aber	[Ab, Aha, AB, ab]	{1.0=[Ab, Aha], 1.5=[AB, ab]}
172	gipt	gibt	[gibt, gilt, Gift, Gips, Gibt, Gilt]	{1.0=[gibt, gilt], 1.5=[Gift, Gips, Gibt, Gilt]}
173	wider	wieder	[wider, wieder, wilder, weder]	{0.0=[wider], 1.0=[wieder, wilder, weder]}
174	glüglich	glücklich	[glücklich, grünlich, kläglich]	{2.0=[glücklich, grünlich, kläglich]}
175	holn	holen	[hole, holen, hol, holt]	{1.0=[hole, holen, hol, holt]}
176	pasirt	passiert	[pariert, passt, passiert]	{2.0=[pariert, passt, passiert]}
177	steuperte	stolperte	[steuerte, steuert, steigerte, steuere, steuerten, stolperte]	{1.0=[steuerte], 2.0=[steuert, steigerte, steuere, steuerten, stolperte]}
178	werlirt	verliert	[erlitt, verliert, Verliert]	{2.0=[erlitt, verliert], 2.5=[Verliert]}
179	Schnapen	schnappen	[schnappen, Schlafen, Schnabel, Schlagen, Schuppen, Schauen, Schnaufen, Schnaps, Scharen, Schnauben, Schalen, Schnüren, Schlauen, Schwaden, Schnauzen, Schnappt, Schnupfen, Schaden, Schafen, Schaben, Schnallen]	{1.5=[schnappen], 2.0=[Schlafen, Schnabel, Schlagen, Schuppen, Schauen, Schnaufen, Schnaps, Scharen, Schnauben, Schalen, Schnüren, Schlauen, Schwaden, Schnauzen, Schnappt, Schnupfen, Schaden, Schafen, Schaben, Schnallen]}
180	runtergefalen	runtergefallen	[runtergefallen, runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]	{1.0=[runtergefallen], 3.0=[runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]}
181	net	nett	[not, nett, ne, neu]	{1.0=[not, nett, ne, neu]}
182	pag	Park	[jag, mag, lag, sag, wag, paß]	{1.0=[jag, mag, lag, sag, wag, paß]}
183	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
184	fengt	fängt	[fegt, fängt, fangt]	{1.0=[fegt, fängt, fangt]}
185	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
186	stolpat	stolpert	[stülpst, stülpt, stolper, stoppt, stopft, stolpert]	{2.0=[stülpst, stülpt, stolper, stoppt, stopft, stolpert]}
187	ir	ihr	[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]	{1.0=[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]}
188	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
189	ir	ihr	[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]	{1.0=[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]}
190	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
191	taeilt	teilt	[teilt, Teilt, teil, eilt, teile, beeilt, teilst, teilte, geeilt, treibt, heilt, teils, tadelt]	{1.0=[teilt], 1.5=[Teilt], 2.0=[teil, eilt, teile, beeilt, teilst, teilte, geeilt, treibt, heilt, teils, tadelt]}
192	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
193	nimt	nimmt	[nimmt, nimm, Nimmt, Zimt, Nimm]	{1.0=[nimmt, nimm], 1.5=[Nimmt, Zimt, Nimm]}
194	Vanile	Vanille	[Vanille, Kanäle, Ventile]	{1.0=[Vanille], 2.0=[Kanäle, Ventile]}
195	Erdbere	Erdbeere	[Erdbeere, Erdbeeren, Erdbeben]	{1.0=[Erdbeere], 2.0=[Erdbeeren, Erdbeben]}
196	nimt	nimmt	[nimmt, nimm, Nimmt, Zimt, Nimm]	{1.0=[nimmt, nimm], 1.5=[Nimmt, Zimt, Nimm]}
197	Valtmeister	Waldmeister	[Weltmeister, Hausmeister, Hausmeisters, ältester, Ältester, Hausmeistern]	{2.0=[Weltmeister], 3.0=[Hausmeister], 4.0=[Hausmeisters, ältester, Ältester, Hausmeistern]}
198	Erdbere	Erdbeere	[Erdbeere, Erdbeeren, Erdbeben]	{1.0=[Erdbeere], 2.0=[Erdbeeren, Erdbeben]}
199	sackt	sagt	[sackt, nackt, sacht, hackt, sackte, packt, backt]	{0.0=[sackt], 1.0=[nackt, sacht, hackt, sackte, packt, backt]}
200	pas	pass	[pass, Opas, das, was, paß, las]	{1.0=[pass, Opas, das, was, paß, las]}
201	gefalen	gefallen	[gefallen, Gefallen, geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]	{1.0=[gefallen], 1.5=[Gefallen], 2.0=[geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]}
202	sackt	sagt	[sackt, nackt, sacht, hackt, sackte, packt, backt]	{0.0=[sackt], 1.0=[nackt, sacht, hackt, sackte, packt, backt]}
203	ide	Idee	[die, öde, Idee]	{1.0=[die, öde], 1.5=[Idee]}
204	tud	tut	[tu, tut, tue, lud, tun]	{1.0=[tu, tut, tue, lud, tun]}
205	helfte	Hälfte	[hefte, hellte, helft, helfe]	{1.0=[hefte, hellte, helft, helfe]}
206	van	von	[von, man, an, ran]	{1.0=[von, man, an, ran]}
207	reinn	rein	[renn, reine, reinen, rein]	{1.0=[renn, reine, reinen, rein]}
208	si	sie	[s, sei, i, is, so, sie]	{1.0=[s, sei, i, is, so, sie]}
209	sinnd	sind	[sind, Sinn, Sind, Sinne, Sinns]	{1.0=[sind], 1.5=[Sinn, Sind, Sinne, Sinns]}
210	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
211	si	sie	[s, sei, i, is, so, sie]	{1.0=[s, sei, i, is, so, sie]}
212	Vun	Und	[Von, Nun, Tun]	{1.0=[Von, Nun, Tun]}
213	jerz	jetzt	[Herz, kurz, merk, jene, wer, lern, wert, gern, setz, jede, er, der, hetz, fern, her, berg, jetzt, werd, je, per, heiz]	{1.5=[Herz], 2.0=[kurz, merk, jene, wer, lern, wert, gern, setz, jede, er, der, hetz, fern, her, berg, jetzt, werd, je, per, heiz]}
214	gehin	gehen	[gehn, gehen, Gehirn, Gehen]	{1.0=[gehn, gehen], 1.5=[Gehirn, Gehen]}
215	eina	einer	[eine, eint, eins, ein]	{1.0=[eine, eint, eins, ein]}
216	fälen	fallen	[fällen, Fällen, Fäden, Sälen]	{1.0=[fällen], 1.5=[Fällen, Fäden, Sälen]}
217	schin	schön	[schön, schon, schien]	{1.0=[schön, schon, schien]}
218	runt	runter	[ruft, bunt, raunt, ruht, rund]	{1.0=[ruft, bunt, raunt, ruht, rund]}
219	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
220	schdolpak	stolpert	[schwollen, schmolz, schluck, schmollte, schlank, schrak, schlapp, schmollt, schlau, schmollen, schmollst, scholl, schmolle, schmolzen, schlaf, schlag, schwoll]	{4.0=[schwollen, schmolz, schluck, schmollte, schlank, schrak, schlapp, schmollt, schlau, schmollen, schmollst, scholl, schmolle, schmolzen, schlaf, schlag, schwoll]}
221	irh	ihr	[ihr, irr, ich]	{1.0=[ihr, irr, ich]}
222	ist	isst	[ist, Ist, bist, Bist, iss, Mist, isst, List, is, ißt]	{0.0=[ist], 0.5=[Ist], 1.0=[bist, Bist, iss, Mist, isst, List, is, ißt]}
223	isst	ist	[isst, Isst, esst, iss, Wisst, misst, ist, wisst]	{0.0=[isst], 0.5=[Isst], 1.0=[esst, iss, Wisst, misst, ist, wisst]}
224	ser	sehr	[der, her, wer, sei, seh, sehr, per, er]	{1.0=[der, her, wer, sei, seh, sehr, per, er]}
225	taurisch	traurig	[tierisch, Tausch, tragisch, barsch, störrisch, magisch, tausche, tierische, tückisch, Störrisch, typisch, panisch, marsch, tisch, tauscht, mürrisch, tauch, frisch]	{2.0=[tierisch], 2.5=[Tausch], 3.0=[tragisch, barsch, störrisch, magisch, tausche, tierische, tückisch, Störrisch, typisch, panisch, marsch, tisch, tauscht, mürrisch, tauch, frisch]}
226	fürlich	fröhlich	[förmlich, üblich, ehrlich, südlich, kürzlich, farblich]	{2.0=[förmlich, üblich, ehrlich, südlich, kürzlich, farblich]}
227	ist	isst	[ist, Ist, bist, Bist, iss, Mist, isst, List, is, ißt]	{0.0=[ist], 0.5=[Ist], 1.0=[bist, Bist, iss, Mist, isst, List, is, ißt]}
228	tild	teilt	[mild, wild, Bild, Wild]	{1.0=[mild, wild], 1.5=[Bild, Wild]}
229	gehn	gehen	[gehn, gen, zehn, gehen, geht, gern, gehe, geh, sehn]	{0.0=[gehn], 1.0=[gen, zehn, gehen, geht, gern, gehe, geh, sehn]}
230	Glüklich	glücklich	[Glücklich, glücklich, Grünlich, Glückliche]	{1.0=[Glücklich], 1.5=[glücklich], 2.0=[Grünlich, Glückliche]}
231	spatzieren	spazieren	[spazieren, spazierten, spaziere, platzieren]	{1.0=[spazieren], 2.0=[spazierten, spaziere, platzieren]}
232	glüklich	glücklich	[glücklich, Glücklich, glückliche, grünlich]	{1.0=[glücklich], 1.5=[Glücklich], 2.0=[glückliche, grünlich]}
233	gekrigt	gekriegt	[gekriegt, gekreist, gekeift, geriet, gekniet, gekramt, gefragt, geneigt, geregt, gekräht, geprägt, geklagt, gezeigt]	{1.0=[gekriegt], 2.0=[gekreist, gekeift, geriet, gekniet, gekramt, gefragt, geneigt, geregt, gekräht, geprägt, geklagt, gezeigt]}
234	Aba	Aber	[Ab, Aha, AB, ab]	{1.0=[Ab, Aha], 1.5=[AB, ab]}
235	ban	dann	[bat, bin, bang, bau, man, band, an, ran]	{1.0=[bat, bin, bang, bau, man, band, an, ran]}
236	kaput	kaputt	[kaut, kaputt, Kaputt]	{1.0=[kaut, kaputt], 1.5=[Kaputt]}
237	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
238	ausgeruscht	ausgerutscht	[ausgerutscht, Ausgerutscht, ausgeruht, Rausgerutscht, ausgelöscht, rausgerutscht, ausgetauscht, ausgesucht, ausgereicht]	{1.0=[ausgerutscht], 1.5=[Ausgerutscht], 2.0=[ausgeruht, Rausgerutscht, ausgelöscht, rausgerutscht, ausgetauscht, ausgesucht, ausgereicht]}
239	runba	runter	[runde, rund, Runde, Rund]	{2.0=[runde, rund], 2.5=[Runde, Rund]}
240	gegan	gegangen	[gegen, getan, Gegen]	{1.0=[gegen, getan], 1.5=[Gegen]}
241	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
242	runda	runter	[runde, rund, Runde, Rund]	{1.0=[runde, rund], 1.5=[Runde, Rund]}
243	gefalen	gefallen	[gefallen, Gefallen, geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]	{1.0=[gefallen], 1.5=[Gefallen], 2.0=[geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]}
244	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
245	gessen	gegessen	[wessen, dessen, gossen, messen, essen]	{1.0=[wessen, dessen, gossen, messen, essen]}
246	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
247	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
248	fon	von	[von, Ton, Fan, Von]	{1.0=[von], 1.5=[Ton, Fan, Von]}
249	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
250	bisjen	bisschen	[bissen, Bissen, biegen, binden, bisher, wissen, rissen, binnen, missen, bitten, bilden, besten, bieten, bösen]	{1.0=[bissen], 1.5=[Bissen], 2.0=[biegen, binden, bisher, wissen, rissen, binnen, missen, bitten, bilden, besten, bieten, bösen]}
251	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
252	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
253	jeda	jeder	[jede, Jede, red, rede, jedes, jene, jeder, jedem, ja, jeden, je, da]	{1.0=[jede], 1.5=[Jede], 2.0=[red, rede, jedes, jene, jeder, jedem, ja, jeden, je, da]}
254	bisjen	bisschen	[bissen, Bissen, biegen, binden, bisher, wissen, rissen, binnen, missen, bitten, bilden, besten, bieten, bösen]	{1.0=[bissen], 1.5=[Bissen], 2.0=[biegen, binden, bisher, wissen, rissen, binnen, missen, bitten, bilden, besten, bieten, bösen]}
255	jeda	jeder	[jede, Jede, red, rede, jedes, jene, jeder, jedem, ja, jeden, je, da]	{1.0=[jede], 1.5=[Jede], 2.0=[red, rede, jedes, jene, jeder, jedem, ja, jeden, je, da]}
256	wil	will	[wir, wie, will, weil, eil, wild]	{1.0=[wir, wie, will, weil, eil, wild]}
257	fon	von	[von, Ton, Fan, Von]	{1.0=[von], 1.5=[Ton, Fan, Von]}
258	weit	weint	[weit, Weit, weist, welt, wein, weil, wert, seit, weißt, weht, zeit, weite, weiß, weint, zweit]	{0.0=[weit], 0.5=[Weit], 1.0=[weist, welt, wein, weil, wert, seit, weißt, weht, zeit, weite, weiß, weint, zweit]}
259	glülisch	glücklich	[glücklich, logisch, gelblich, englisch, glich, höllisch, grünlich, gleich, Höllisch]	{3.0=[glücklich, logisch, gelblich, englisch, glich, höllisch, grünlich, gleich, Höllisch]}
260	wal	weil	[Wal, wald, was, mal, war, wag]	{0.5=[Wal], 1.0=[wald, was, mal, war, wag]}
261	fon	von	[von, Ton, Fan, Von]	{1.0=[von], 1.5=[Ton, Fan, Von]}
262	ruter	runter	[guter, röter, runter, roter]	{1.0=[guter, röter, runter, roter]}
263	teiel	teil	[teil, teile, Teil, Teile]	{1.0=[teil, teile], 1.5=[Teil, Teile]}
264	sit	ist	[fit, sät, seit, mit, sitz, ist, sie]	{1.0=[fit, sät, seit, mit, sitz, ist, sie]}
265	glülisch	glücklich	[glücklich, logisch, gelblich, englisch, glich, höllisch, grünlich, gleich, Höllisch]	{3.0=[glücklich, logisch, gelblich, englisch, glich, höllisch, grünlich, gleich, Höllisch]}
266	Hart	hat	[Hart, hart, Halt, Hört, Wart, Hast, Habt, Haut, Hat, Bart, Harte]	{0.0=[Hart], 0.5=[hart], 1.0=[Halt, Hört, Wart, Hast, Habt, Haut, Hat, Bart, Harte]}
267	bekomen	bekommen	[bekamen, bekämen, bekommen]	{1.0=[bekamen, bekämen, bekommen]}
268	sint	sind	[singt, sinkt, eint, sind, sing]	{1.0=[singt, sinkt, eint, sind, sing]}
269	EisStant	Eisstand	[Distanz, Eiskalt, Erstaunt]	{3.0=[Distanz, Eiskalt, Erstaunt]}
270	sint	sind	[singt, sinkt, eint, sind, sing]	{1.0=[singt, sinkt, eint, sind, sing]}
271	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
272	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
273	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
274	getroft	getropft	[getropft, getrost, getauft, getobt, getrabt, getraut, geprüft, getrübt, geprobt, getrollt, getupft, gedroht, gestraft]	{1.0=[getropft, getrost], 2.0=[getauft, getobt, getrabt, getraut, geprüft, getrübt, geprobt, getrollt, getupft, gedroht, gestraft]}
275	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
276	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
277	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
278	si	sie	[s, sei, i, is, so, sie]	{1.0=[s, sei, i, is, so, sie]}
279	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
280	fersucht	versucht	[versucht, Versucht, geraucht, Eifersucht, forscht, versuche, gesucht, besucht, feucht, versuchst, versuchte, versuch]	{1.0=[versucht], 1.5=[Versucht], 2.0=[geraucht, Eifersucht, forscht, versuche, gesucht, besucht, feucht, versuchst, versuchte, versuch]}
281	esen	essen	[lesen, Wesen, Besen, eben, essen, Lesen]	{1.0=[lesen, Wesen, Besen, eben, essen, Lesen]}
282	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
283	Had	hat	[Hai, Bad, Rad, Dad, Haß, Hab, Hat, Hau, Hand]	{1.0=[Hai, Bad, Rad, Dad, Haß, Hab, Hat, Hau, Hand]}
284	gegesch	gegessen	[Gemisch, Gebüsch, gereicht, gewesen, geprescht, gefischt, magisch, gegen, gleich, gehuscht, gerecht, gewischt, gezischt, geduscht, gegessen, logisch, deutsch, reges, gekeucht, gelesen, gegeben, gemischt, genascht, gelöscht]	{2.5=[Gemisch, Gebüsch], 3.0=[gereicht, gewesen, geprescht, gefischt, magisch, gegen, gleich, gehuscht, gerecht, gewischt, gezischt, geduscht, gegessen, logisch, deutsch, reges, gekeucht, gelesen, gegeben, gemischt, genascht, gelöscht]}
285	si	sie	[s, sei, i, is, so, sie]	{1.0=[s, sei, i, is, so, sie]}
286	gen	gehen	[gen, wen, gehn, geb, gern, geh, den]	{0.0=[gen], 1.0=[wen, gehn, geb, gern, geh, den]}
287	frölich	fröhlich	[fröhlich, Fröhlich, freilich, rötlich, förmlich, fröhliche, farblich]	{1.0=[fröhlich], 1.5=[Fröhlich], 2.0=[freilich, rötlich, förmlich, fröhliche, farblich]}
288	aufsten	Aufstehen	[aufstand, aufsagten, husten, pusten, aufstehe, aufsagen, duften, aufsehen, hausten, auflösten, aufsteht, faulsten, aufessen, aufstoßen, aufsetzen, tauften, wussten, sausten, mussten, rauften, aufstieß, kauften, aufsitzen, aufstieg, aufstehen, auftun]	{2.0=[aufstand, aufsagten, husten, pusten, aufstehe, aufsagen, duften, aufsehen, hausten, auflösten, aufsteht, faulsten, aufessen, aufstoßen, aufsetzen, tauften, wussten, sausten, mussten, rauften, aufstieß, kauften, aufsitzen, aufstieg, aufstehen, auftun]}
289	giebt	gibt	[gebt, gießt, siebt, gibt, liebt]	{1.0=[gebt, gießt, siebt, gibt, liebt]}
290	sig	sie	[sag, sog, sing, sie]	{1.0=[sag, sog, sing, sie]}
291	frölich	fröhlich	[fröhlich, Fröhlich, freilich, rötlich, förmlich, fröhliche, farblich]	{1.0=[fröhlich], 1.5=[Fröhlich], 2.0=[freilich, rötlich, förmlich, fröhliche, farblich]}
292	wiel	will	[wie, fiel, will, weil, wies, viel]	{1.0=[wie, fiel, will, weil, wies, viel]}
293	unden	unten	[unten, Runden, Wunden, enden, Kunden, Funden, wunden, Hunden, runden]	{1.0=[unten, Runden, Wunden, enden, Kunden, Funden, wunden, Hunden, runden]}
294	kaput	kaputt	[kaut, kaputt, Kaputt]	{1.0=[kaut, kaputt], 1.5=[Kaputt]}
295	Schlekt	schleckt	[Schleckt, schleckt, Schleppt, Schluckt, Schließt, Schickt, Schert, Schmeckt, Schwert, Schwenkt, Schenkt, Schleim, Schreit, Schießt, Schockt, Schiebt, Schreckt, Schlaft, Schlagt, Schläft, Schlecht, Schlägt, Schwebt]	{1.0=[Schleckt], 1.5=[schleckt], 2.0=[Schleppt, Schluckt, Schließt, Schickt, Schert, Schmeckt, Schwert, Schwenkt, Schenkt, Schleim, Schreit, Schießt, Schockt, Schiebt, Schreckt, Schlaft, Schlagt, Schläft, Schlecht, Schlägt, Schwebt]}
296	steupert	stolpert	[steuert, steuere, steuern, steuerte, steigert, stolpert]	{1.0=[steuert], 2.0=[steuere, steuern, steuerte, steigert, stolpert]}
297	geteit	geteilt	[geteilt, gelegt, geriet, gereizt, gefegt, gehegt, geeilt, geheizt, gezeigt, geheilt, gemeint, gehext, betet, gesteht, betest, geneigt, bereit, gemein, gefeixt, getobt, gereist, zetert, getönt, gelebt, gereimt, gekeift, geweht, gebebt, geweint, gereiht, gereift, geregt, geheim]	{1.0=[geteilt], 2.0=[gelegt, geriet, gereizt, gefegt, gehegt, geeilt, geheizt, gezeigt, geheilt, gemeint, gehext, betet, gesteht, betest, geneigt, bereit, gemein, gefeixt, getobt, gereist, zetert, getönt, gelebt, gereimt, gekeift, geweht, gebebt, geweint, gereiht, gereift, geregt, geheim]}
298	sient	sind	[siebt, dient, siegt, sieht]	{1.0=[siebt, dient, siegt, sieht]}
299	glüklisch	glücklich	[glücklich, Glücklich, glückliche, grünlich]	{2.0=[glücklich], 2.5=[Glücklich], 3.0=[glückliche, grünlich]}
300	gehn	gehen	[gehn, gen, zehn, gehen, geht, gern, gehe, geh, sehn]	{0.0=[gehn], 1.0=[gen, zehn, gehen, geht, gern, gehe, geh, sehn]}
